obs_name,gt,gt_code
19_184,Fibroblasts,4
19_200,Tumor,12
19_219,Fibroblasts,4
19_220,High_Endothelial_Venules,6
19_221,Fibroblasts,4
19_224,Fibroblasts,4
19_229,Fibroblasts,4
19_240,M1_macrophages,7
19_249,Fibroblasts,4
19_256,Fibroblasts,4
19_281,CAF,0
19_284,Fibroblasts,4
19_287,CAF,0
19_298,Fibroblasts,4
19_317,Fibroblasts,4
19_319,Plasma_IgG,10
19_322,Fibroblasts,4
19_349,Plasma_IgG,10
19_360,Fibroblasts,4
19_366,Fibroblasts,4
19_367,Fibroblasts,4
19_371,Fibroblasts,4
19_382,Fibroblasts,4
19_386,Fibroblasts,4
19_397,Fibroblasts,4
19_407,Fibroblasts,4
19_423,Fibroblasts,4
19_424,Fibroblasts,4
19_427,High_Endothelial_Venules,6
19_432,CAF,0
19_433,Fibroblasts,4
19_434,Fibroblasts,4
19_439,Fibroblasts,4
19_440,CAF,0
19_446,Tumor,12
19_447,CAF,0
19_448,Plasma_IgG,10
19_454,unknown,14
19_463,CAF,0
19_466,CAF,0
19_467,Fibroblasts,4
19_468,Fibroblasts,4
19_478,Fibroblasts,4
19_483,Plasma_IgG,10
19_492,Fibroblasts,4
19_493,M1_macrophages,7
19_500,Fibroblasts,4
19_503,CAF,0
19_506,Fibroblasts,4
19_519,Fibroblasts,4
19_521,Fibroblasts,4
19_522,Fibroblasts,4
19_524,M1_macrophages,7
19_526,Fibroblasts,4
19_533,CAF,0
19_540,Fibroblasts,4
19_546,CAF,0
19_557,Fibroblasts,4
19_558,Fibroblasts,4
19_559,Fibroblasts,4
19_561,Fibroblasts,4
19_566,Fibroblasts,4
19_567,CAF,0
19_569,Fibroblasts,4
19_570,Fibroblasts,4
19_574,M1_macrophages,7
19_575,Fibroblasts,4
19_579,Plasma_IgG,10
19_586,Fibroblasts,4
19_587,Fibroblasts,4
19_593,Fibroblasts,4
19_601,CAF,0
19_603,Fibroblasts,4
19_605,Tumor,12
19_609,Fibroblasts,4
19_614,Plasma_IgG,10
19_615,M1_macrophages,7
19_618,Fibroblasts,4
19_619,Fibroblasts,4
19_622,Fibroblasts,4
19_623,Fibroblasts,4
19_625,Fibroblasts,4
19_627,Plasma_IgG,10
19_632,Fibroblasts,4
19_633,Fibroblasts,4
19_635,Fibroblasts,4
19_637,M1_macrophages,7
19_640,Fibroblasts,4
19_641,Fibroblasts,4
19_646,unknown,14
19_650,Fibroblasts,4
19_655,Fibroblasts,4
19_658,M1_macrophages,7
19_662,CAM,1
19_664,M1_macrophages,7
19_668,Tumor,12
19_671,Plasma_IgG,10
19_678,Fibroblasts,4
19_680,Plasma_IgG,10
19_682,Fibroblasts,4
19_684,CAF,0
19_687,Fibroblasts,4
19_690,CAF,0
19_693,CAF,0
19_700,Fibroblasts,4
19_703,Plasma_IgG,10
19_704,CAF,0
19_711,M1_macrophages,7
19_712,CAF,0
19_714,CAF,0
19_718,unknown,14
19_722,CAF,0
19_728,Fibroblasts,4
19_729,M1_macrophages,7
19_734,High_Endothelial_Venules,6
19_735,CAF,0
19_737,Fibroblasts,4
19_739,CAF,0
19_740,M1_macrophages,7
19_741,Plasma_IgG,10
19_743,Fibroblasts,4
19_744,Fibroblasts,4
19_745,Fibroblasts,4
19_750,unknown,14
19_752,CAF,0
19_755,M1_macrophages,7
19_756,Fibroblasts,4
19_758,CAF,0
19_759,High_Endothelial_Venules,6
19_761,Fibroblasts,4
19_762,Plasma_IgG,10
19_766,Fibroblasts,4
19_767,Fibroblasts,4
19_768,High_Endothelial_Venules,6
19_769,Plasma_IgG,10
19_770,CAF,0
19_774,Fibroblasts,4
19_776,Fibroblasts,4
19_777,Tumor,12
19_783,Plasma_IgG,10
19_784,M1_macrophages,7
19_785,Plasma_IgG,10
19_787,Fibroblasts,4
19_790,M1_macrophages,7
19_794,CAF,0
19_795,Plasma_IgG,10
19_796,Fibroblasts,4
19_800,Plasma_IgG,10
19_803,Fibroblasts,4
19_807,High_Endothelial_Venules,6
19_808,Fibroblasts,4
19_810,CAF,0
19_812,CAF,0
19_814,M1_macrophages,7
19_815,Fibroblasts,4
19_824,CAF,0
19_828,M1_macrophages,7
19_830,Fibroblasts,4
19_831,CAF,0
19_836,Tumor,12
19_839,Fibroblasts,4
19_840,Plasma_IgG,10
19_846,Fibroblasts,4
19_847,Fibroblasts,4
19_849,Plasma_IgG,10
19_850,Plasma_IgG,10
19_856,M1_macrophages,7
19_866,CAF,0
19_867,Plasma_IgG,10
19_869,Fibroblasts,4
19_870,Plasma_IgG,10
19_877,CAF,0
19_886,Fibroblasts,4
19_891,Plasma_IgG,10
19_894,Germinal_Center_Plasma_IgM_B_cell,5
19_895,CAF,0
19_900,Plasma_IgG,10
19_901,Plasma_IgG,10
19_902,Plasma_IgG,10
19_907,CAF,0
19_911,Plasma_IgG,10
19_912,CAF,0
19_917,Fibroblasts,4
19_932,CAF,0
19_938,Plasma_IgG,10
19_946,M1_macrophages,7
19_950,Plasma_IgG,10
19_952,Plasma_IgG,10
19_957,Plasma_IgG,10
19_965,Plasma_IgG,10
19_966,Plasma_IgG,10
19_967,Plasma_IgG,10
19_970,Fibroblasts,4
19_974,Fibroblasts,4
19_978,Germinal_Center_Plasma_IgM_B_cell,5
19_980,Plasma_IgG,10
19_981,CAF,0
19_982,CAF,0
19_988,M1_macrophages,7
19_989,CAF,0
19_990,CAF,0
19_994,Plasma_IgG,10
19_995,CAF,0
19_998,Plasma_IgG,10
19_1001,CAF,0
19_1002,Tumor,12
19_1003,Plasma_IgG,10
19_1006,Plasma_IgG,10
19_1010,CAF,0
19_1013,Fibroblasts,4
19_1014,CAF,0
19_1018,CAF,0
19_1019,CAF,0
19_1020,Fibroblasts,4
19_1021,M1_macrophages,7
