obs_name,method_cluster,selected_as_cancer_cluster,signed_distance_to_selected_cancer_cluster_boundary,x,y,annotation_optional_validation_only,score_cholesterol_biosynthesis,score_immune_activation,score_proliferation,score_hypoxia_stress
19_184,5,False,1880.1725,330.0208,3117.9126,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_200,6,False,1764.9507,339.32187,3269.9915,Tumor,-0.17691031,0.091018915,-0.1512911,-0.041671056
19_219,5,False,1829.2582,353.9592,3165.224,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_220,5,False,1789.012,361.2891,3213.9062,High_Endothelial_Venules,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_221,5,False,1683.4243,367.2543,3359.2388,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_224,6,False,1707.1097,373.22708,3318.1873,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,0.3936159
19_229,5,False,1727.6344,370.9782,3290.9563,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_240,5,False,1750.4935,373.44662,3255.9705,M1_macrophages,-0.17691031,0.33987266,-0.1512911,-0.25734973
19_249,5,False,1839.4397,377.32935,3129.866,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_256,5,False,1810.6443,386.464,3160.4573,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_281,5,False,1569.6483,406.35742,3487.114,CAF,-0.17691031,-0.15783484,-0.1512911,0.17400761
19_284,5,False,1600.1068,407.2702,3439.3538,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.0062302863
19_287,5,False,1542.5686,415.97406,3517.915,CAF,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_298,5,False,1837.7563,408.96454,3104.2556,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_317,6,False,1813.7155,447.43134,3103.184,Fibroblasts,-0.17691031,1.8918455,-0.1512911,0.051773284
19_319,5,False,1786.4822,444.84644,3141.0261,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_322,5,False,1341.3503,444.52512,3829.5269,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,0.051773284
